committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-10T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
NUESTRO PAC,2022,SINCLAIR STRATEGIES,MA,DIRECT MAIL PRODUCTION AND POSTAGE,2022-02-23T00:00:00Z,39931.36,S,"CISNEROS, JESSICA",H,DEM
BIG RIVER MEDIA,2022,BIG RIVER MEDIA,TX,NA,2022-05-16T00:00:00Z,3801.6,O,"CISNEROS, JESSICA",H,NA
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,NEW PARTNERS,MN,EXPENSES FOR PHONE BANKING,2022-02-16T00:00:00Z,15000,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-06-30T00:00:00Z,25000,S,"FLORES, MAYRA",H,NA
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",VA,DIRECT MAIL PROGRAM,2022-02-18T00:00:00Z,14814.86,S,"CISNEROS, JESSICA",H,DEM
BIENVENIDO ACTION PAC,2022,TEXTGOP LLC,KS,DIGITAL VOTER CONTACT,2022-06-10T00:00:00Z,3582.53,S,"FLORES, MAYRA",H,REP
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-27T00:00:00Z,12179.58,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,ROBOCALL.ORG,VA,ROBOCALL,2022-05-24T00:00:00Z,41.27,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-05-09T00:00:00Z,10769.35,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,CONSOLIDATED PRESS,NC,NON-CONTRIBUTION ACCOUNT: GOTV LITERATURE,2022-02-22T00:00:00Z,246.56,S,"CISNEROS, JESSICA",H,DEM
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2022,TEXAS TOOLBELT,TX,ESTIMATED COST - CANVASS LITERATURE,2022-02-16T00:00:00Z,25000,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,DIGITAL AD PRODUCTION,2022-04-29T00:00:00Z,500,S,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,636.2,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,"BATISTA, CRISTINA",DC,NON-CONTRIBUTION ACCOUNT: PER DIEM,2022-02-25T00:00:00Z,166.23,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,MEDIA PRODUCTION,2022-08-15T00:00:00Z,1000,S,"DE LA CRUZ, MONICA",H,REP
